,text,contains_image,contains_table,extracted_text,class
206,<<START_SECTION>><<END_SECTION>>,0,0,,2.0
207,<<START_SUBHEADING>>Paediatric use<<END_SUBHEADING>>,0,0,Paediatric use,1.0
208,<<START_SECTION>>The safety and efficacy of durvalumab have not been established in patients younger than 18 years of age. <<END_SECTION>>,0,0,The safety and efficacy of durvalumab have not been established in patients younger than 18 years of age. ,2.0
209,<<START_SUBHEADING>>4.5 	Interactions with other medicines and other forms of interactions<<END_SUBHEADING>>,0,0,4.5 	Interactions with other medicines and other forms of interactions,1.0
210,"<<START_SECTION>>Durvalumab is an immunoglobulin. The primary elimination pathways of durvalumab are protein catabolism via reticuloendothelial system or target mediated disposition, therefore no formal pharmacokinetic (PK) drug-drug interaction studies have been conducted since no metabolic drugdrug interactions are expected. PK drug-drug interaction between durvalumab and etoposide, and carboplatin or cisplatin was assessed in the CASPIAN study and no clinically meaningful PK drugdrug interaction between durvalumab and the chemotherapy was identified. <<END_SECTION>>",0,0,"Durvalumab is an immunoglobulin. The primary elimination pathways of durvalumab are protein catabolism via reticuloendothelial system or target mediated disposition, therefore no formal pharmacokinetic (PK) drug-drug interaction studies have been conducted since no metabolic drugdrug interactions are expected. PK drug-drug interaction between durvalumab and etoposide, and carboplatin or cisplatin was assessed in the CASPIAN study and no clinically meaningful PK drugdrug interaction between durvalumab and the chemotherapy was identified. ",2.0
211,"<<START_SUBHEADING>>	4.6 	Fertility, pregnancy and lactation<<END_SUBHEADING>>",0,0,"	4.6 	Fertility, pregnancy and lactation",1.0
212,<<START_SUBHEADING>>Effects on fertility<<END_SUBHEADING>>,0,0,Effects on fertility,1.0
213,"<<START_SECTION>>There are no data on the effects of durvalumab on fertility in humans. In repeat-dose toxicology studies of durvalumab up to 3 months duration in sexually mature cynomolgus monkeys, there were no notable effects on the male and female reproductive organs. These animals received weekly doses of durvalumab yielding 11 times the clinical exposure (based on AUC) at the clinical dose of 1500 mg every 3 weeks and 23 times at the clinical dose of 10 mg/kg every 2 weeks. <<END_SECTION>>",0,0,"There are no data on the effects of durvalumab on fertility in humans. In repeat-dose toxicology studies of durvalumab up to 3 months duration in sexually mature cynomolgus monkeys, there were no notable effects on the male and female reproductive organs. These animals received weekly doses of durvalumab yielding 11 times the clinical exposure (based on AUC) at the clinical dose of 1500 mg every 3 weeks and 23 times at the clinical dose of 10 mg/kg every 2 weeks. ",2.0
214,<<START_SUBHEADING>>Use in pregnancy ? Category D<<END_SUBHEADING>>,0,0,Use in pregnancy ? Category D,1.0
215,"<<START_SECTION>>There are no data on the use of durvalumab in pregnant women. Based on its mechanism of action, durvalumab has the potential to impact maintenance of pregnancy and may cause foetal harm when administered to a pregnant woman. Human IgG1 is known to cross the placental barrier; therefore, durvalumab has the potential to be transmitted from the mother to the developing foetus. Durvalumab use is not recommended during pregnancy. Women of childbearing potential should use effective contraception during treatment and for at least 3 months after the last dose. <<END_SECTION>>",0,0,"There are no data on the use of durvalumab in pregnant women. Based on its mechanism of action, durvalumab has the potential to impact maintenance of pregnancy and may cause foetal harm when administered to a pregnant woman. Human IgG1 is known to cross the placental barrier; therefore, durvalumab has the potential to be transmitted from the mother to the developing foetus. Durvalumab use is not recommended during pregnancy. Women of childbearing potential should use effective contraception during treatment and for at least 3 months after the last dose. ",2.0
216,<<START_SUBHEADING>>Animal data<<END_SUBHEADING>>,0,0,Animal data,1.0
217,"<<START_SECTION>>As reported in the literature, the PD-1/PD-L1 pathway plays a central role in preserving pregnancy by maintaining maternal immune tolerance to the foetus. In mouse allogeneic pregnancy models, disruption of PD-L1 signalling was shown to result in an increase in foetal loss. The effects of durvalumab on prenatal and postnatal development were evaluated in reproduction studies in cynomolgus monkeys. Durvalumab was administered from the confirmation of pregnancy through delivery at exposure levels approximately 3 to 11 times the clinical exposure (based on AUC) at the clinical dose of 1500 mg every 3 weeks and 6 to 20 times at the clinical dose of 10 mg/kg every 2 weeks. Administration of durvalumab resulted in premature delivery, foetal loss (abortion and stillbirth) and increase in neonatal deaths compared to concurrent controls. Durvalumab was detected in infant serum on postpartum Day 1, indicating the presence of placental transfer of durvalumab. Based on its mechanism of action, foetal exposure to durvalumab may increase the risk of developing immune-mediated disorders or altering the normal immune response and immunemediated disorders have been reported in PD-1 knockout mice. <<END_SECTION>>",0,0,"As reported in the literature, the PD-1/PD-L1 pathway plays a central role in preserving pregnancy by maintaining maternal immune tolerance to the foetus. In mouse allogeneic pregnancy models, disruption of PD-L1 signalling was shown to result in an increase in foetal loss. The effects of durvalumab on prenatal and postnatal development were evaluated in reproduction studies in cynomolgus monkeys. Durvalumab was administered from the confirmation of pregnancy through delivery at exposure levels approximately 3 to 11 times the clinical exposure (based on AUC) at the clinical dose of 1500 mg every 3 weeks and 6 to 20 times at the clinical dose of 10 mg/kg every 2 weeks. Administration of durvalumab resulted in premature delivery, foetal loss (abortion and stillbirth) and increase in neonatal deaths compared to concurrent controls. Durvalumab was detected in infant serum on postpartum Day 1, indicating the presence of placental transfer of durvalumab. Based on its mechanism of action, foetal exposure to durvalumab may increase the risk of developing immune-mediated disorders or altering the normal immune response and immunemediated disorders have been reported in PD-1 knockout mice. ",2.0
218,<<START_SUBHEADING>>Use in lactation<<END_SUBHEADING>>,0,0,Use in lactation,1.0
219,"<<START_SECTION>>There is no information regarding the presence of durvalumab in human milk, the absorption and effects on the breast-fed infant, or the effects on milk production.  Human IgG is excreted in human milk. In animal reproduction studies, administration of durvalumab to pregnant cynomolgus monkeys was associated with dose-related low-level excretion of durvalumab in breast milk and was associated with premature neonatal death compared to concurrent controls. Because of the potential for adverse reactions in breastfed infants from durvalumab, lactating women should be advised not to breast-feed during treatment and for at least 3 months after the last dose. <<END_SECTION>>",0,0,"There is no information regarding the presence of durvalumab in human milk, the absorption and effects on the breast-fed infant, or the effects on milk production.  Human IgG is excreted in human milk. In animal reproduction studies, administration of durvalumab to pregnant cynomolgus monkeys was associated with dose-related low-level excretion of durvalumab in breast milk and was associated with premature neonatal death compared to concurrent controls. Because of the potential for adverse reactions in breastfed infants from durvalumab, lactating women should be advised not to breast-feed during treatment and for at least 3 months after the last dose. ",2.0
220,<<START_SUBHEADING>>	4.7 	Effects on ability to drive and use machines<<END_SUBHEADING>>,0,0,	4.7 	Effects on ability to drive and use machines,1.0
221,"<<START_SECTION>>Based on its pharmacodynamic properties, durvalumab is unlikely to affect the ability to drive and use machines. However, if patients experience adverse reactions affecting their ability to concentrate and react, they should be advised to use caution when driving or operating machinery. <<END_SECTION>>",0,0,"Based on its pharmacodynamic properties, durvalumab is unlikely to affect the ability to drive and use machines. However, if patients experience adverse reactions affecting their ability to concentrate and react, they should be advised to use caution when driving or operating machinery. ",2.0
222,<<START_SUBHEADING>>	4.8 	Adverse effects (undesirable effects) <<END_SUBHEADING>>,0,0,	4.8 	Adverse effects (undesirable effects) ,1.0
223,<<START_SUBHEADING>>Overall summary of adverse drug reactions<<END_SUBHEADING>>,0,0,Overall summary of adverse drug reactions,1.0
224,"<<START_SECTION>>The safety of IMFINZI as monotherapy is based on pooled data in 3006 patients from 9 studies across multiple tumour types. IMFINZI was administered at a dose of 10 mg/kg every 2 weeks or 20 mg/kg every 4 weeks. The most frequent (>10%) adverse reactions were cough/productive cough (21.5%), diarrhoea (16.3%), rash (16.0%), pyrexia (13.8%), upper respiratory tract infections (13.5%), abdominal pain (12.7%), pruritus (10.8%) and hypothyroidism (10.1%). <<END_SECTION>>",0,0,"The safety of IMFINZI as monotherapy is based on pooled data in 3006 patients from 9 studies across multiple tumour types. IMFINZI was administered at a dose of 10 mg/kg every 2 weeks or 20 mg/kg every 4 weeks. The most frequent (>10%) adverse reactions were cough/productive cough (21.5%), diarrhoea (16.3%), rash (16.0%), pyrexia (13.8%), upper respiratory tract infections (13.5%), abdominal pain (12.7%), pruritus (10.8%) and hypothyroidism (10.1%). ",2.0
225,<<START_SUBHEADING>>Tabulated list of adverse reactions<<END_SUBHEADING>>,0,0,Tabulated list of adverse reactions,1.0
226,"<<START_SECTION>>Table 3 lists the incidence of adverse reactions in the monotherapy safety dataset. Adverse drug reactions are listed according to system organ class in MedDRA. Within each system organ class, the adverse drug reactions are presented in decreasing frequency. Within each frequency grouping, adverse drug reactions are presented in order of decreasing seriousness. In addition, the corresponding frequency category for each ADR is based on the CIOMS III convention and is defined as: very common (ò 1/10); common (ò 1/100 to < 1/10); uncommon (ò 1/1,000 to < 1/100); rare (ò 1/10,000 to < 1/1000); very rare (< 1/10,000); not determined (cannot be estimated from available data).<<END_SECTION>>",0,1,"Table 3 lists the incidence of adverse reactions in the monotherapy safety dataset. Adverse drug reactions are listed according to system organ class in MedDRA. Within each system organ class, the adverse drug reactions are presented in decreasing frequency. Within each frequency grouping, adverse drug reactions are presented in order of decreasing seriousness. In addition, the corresponding frequency category for each ADR is based on the CIOMS III convention and is defined as: very common (ò 1/10); common (ò 1/100 to < 1/10); uncommon (ò 1/1,000 to < 1/100); rare (ò 1/10,000 to < 1/1000); very rare (< 1/10,000); not determined (cannot be estimated from available data).",2.0
227,<<START_SECTION>>	Table 3 	Adverse drug reactions in patients treated with IMFINZI monotherapy<<END_SECTION>>,0,1,	Table 3 	Adverse drug reactions in patients treated with IMFINZI monotherapy,2.0
228,<<START_SECTION>>IMFINZI Monotherapy<<END_SECTION>>,0,0,IMFINZI Monotherapy,2.0
229,<<START_SECTION>>Any Grade (%)<<END_SECTION>>,0,0,Any Grade (%),2.0
230,<<START_SECTION>>Grade 3-4 (%)<<END_SECTION>>,0,0,Grade 3-4 (%),2.0
231,<<START_SECTION>>Infections and infestations<<END_SECTION>>,0,0,Infections and infestations,2.0
232,<<START_SECTION>>Upper respiratory tract infectionsa<<END_SECTION>>,0,0,Upper respiratory tract infectionsa,2.0
233,<<START_SECTION>>Very common<<END_SECTION>>,0,0,Very common,2.0
234,<<START_SECTION>>13.5<<END_SECTION>>,0,0,13.5,2.0
235,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
236,<<START_SECTION>> 0.2<<END_SECTION>>,0,0, 0.2,2.0
237,"<<START_SECTION>>Pneumoniab,c<<END_SECTION>>",0,0,"Pneumoniab,c",2.0
238,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
239,<<START_SECTION>>8.9<<END_SECTION>>,0,0,8.9,2.0
240,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
241,<<START_SECTION>>3.5<<END_SECTION>>,0,0,3.5,2.0
242,<<START_SECTION>>Oral candidiasis<<END_SECTION>>,0,0,Oral candidiasis,2.0
243,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
244,<<START_SECTION>>2.1<<END_SECTION>>,0,0,2.1,2.0
245,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
246,<<START_SECTION>>Dental and oral soft tissue infectionsd<<END_SECTION>>,0,0,Dental and oral soft tissue infectionsd,2.0
247,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
248,<<START_SECTION>>1.7<<END_SECTION>>,0,0,1.7,2.0
249,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
250,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
251,<<START_SECTION>>Influenza<<END_SECTION>>,0,0,Influenza,2.0
252,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
253,<<START_SECTION>>1.6<<END_SECTION>>,0,0,1.6,2.0
254,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
255,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
256,<<START_SECTION>>Blood and lymphatic system disorders<<END_SECTION>>,0,0,Blood and lymphatic system disorders,2.0
257,<<START_SECTION>>Immune thrombocytopenia<<END_SECTION>>,0,0,Immune thrombocytopenia,2.0
258,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
259,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
260,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
261,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
262,<<START_SECTION>>Endocrine disorders<<END_SECTION>>,0,0,Endocrine disorders,2.0
263,<<START_SECTION>>Hypothyroidisme<<END_SECTION>>,0,0,Hypothyroidisme,2.0
264,<<START_SECTION>>Very common<<END_SECTION>>,0,0,Very common,2.0
265,<<START_SECTION>>10.1<<END_SECTION>>,0,0,10.1,2.0
266,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
267,<<START_SECTION>>0.2<<END_SECTION>>,0,0,0.2,2.0
268,<<START_SECTION>>Hyperthyroidismf<<END_SECTION>>,0,0,Hyperthyroidismf,2.0
269,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
270,<<START_SECTION>>4.6<<END_SECTION>>,0,0,4.6,2.0
271,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
272,<<START_SECTION>>Thyroiditisg<<END_SECTION>>,0,0,Thyroiditisg,2.0
273,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
274,<<START_SECTION>>0.8<<END_SECTION>>,0,0,0.8,2.0
275,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
276,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
277,<<START_SECTION>>Adrenal insufficiency<<END_SECTION>>,0,0,Adrenal insufficiency,2.0
278,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
279,<<START_SECTION>>0.6<<END_SECTION>>,0,0,0.6,2.0
280,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
281,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
282,<<START_SECTION>>Type 1 diabetes mellitus<<END_SECTION>>,0,0,Type 1 diabetes mellitus,2.0
283,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
284,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
285,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
286,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
287,<<START_SECTION>>Hypophysitis/<<END_SECTION>>,0,0,Hypophysitis/,2.0
288,<<START_SECTION>>Hypopituitarism<<END_SECTION>>,0,0,Hypopituitarism,2.0
289,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
290,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
291,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
292,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
293,<<START_SECTION>>IMFINZI Monotherapy<<END_SECTION>>,0,0,IMFINZI Monotherapy,2.0
294,<<START_SECTION>>Any Grade (%)<<END_SECTION>>,0,0,Any Grade (%),2.0
295,<<START_SECTION>>Grade 3-4 (%)<<END_SECTION>>,0,0,Grade 3-4 (%),2.0
296,<<START_SECTION>>Diabetes insipidus<<END_SECTION>>,0,0,Diabetes insipidus,2.0
297,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
298,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
299,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
300,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
301,<<START_SECTION>>Nervous System Disorders<<END_SECTION>>,0,0,Nervous System Disorders,2.0
302,<<START_SECTION>>Myasthenia gravis<<END_SECTION>>,0,0,Myasthenia gravis,2.0
303,<<START_SECTION>>Not determinedh<<END_SECTION>>,0,0,Not determinedh,2.0
304,<<START_SECTION>>Not determinedh<<END_SECTION>>,0,0,Not determinedh,2.0
305,<<START_SECTION>>Cardiac disorders<<END_SECTION>>,0,0,Cardiac disorders,2.0
306,<<START_SECTION>>Myocarditis<<END_SECTION>>,0,0,Myocarditis,2.0
307,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
308,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
309,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
310,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
311,"<<START_SECTION>>Respiratory, thoracic and mediastinal disorders<<END_SECTION>>",0,0,"Respiratory, thoracic and mediastinal disorders",2.0
312,<<START_SECTION>>Cough/Productive Cough<<END_SECTION>>,0,0,Cough/Productive Cough,2.0
313,<<START_SECTION>>Very common<<END_SECTION>>,0,0,Very common,2.0
314,<<START_SECTION>>21.5<<END_SECTION>>,0,0,21.5,2.0
315,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
316,<<START_SECTION>>0.4<<END_SECTION>>,0,0,0.4,2.0
317,<<START_SECTION>>Pneumonitisc<<END_SECTION>>,0,0,Pneumonitisc,2.0
318,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
319,<<START_SECTION>>3.8<<END_SECTION>>,0,0,3.8,2.0
320,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
321,<<START_SECTION>>0.9<<END_SECTION>>,0,0,0.9,2.0
322,<<START_SECTION>>Dysphonia<<END_SECTION>>,0,0,Dysphonia,2.0
323,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
324,<<START_SECTION>>3.1<<END_SECTION>>,0,0,3.1,2.0
325,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
326,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
327,<<START_SECTION>>Interstitial lung disease<<END_SECTION>>,0,0,Interstitial lung disease,2.0
328,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
329,<<START_SECTION>>0.6<<END_SECTION>>,0,0,0.6,2.0
330,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
331,<<START_SECTION>>0.1<<END_SECTION>>,0,0,0.1,2.0
332,<<START_SECTION>>Gastrointestinal disorders<<END_SECTION>>,0,0,Gastrointestinal disorders,2.0
333,<<START_SECTION>>Diarrhoea<<END_SECTION>>,0,0,Diarrhoea,2.0
334,<<START_SECTION>>Very common<<END_SECTION>>,0,0,Very common,2.0
335,<<START_SECTION>>16.3<<END_SECTION>>,0,0,16.3,2.0
336,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
337,<<START_SECTION>>0.6<<END_SECTION>>,0,0,0.6,2.0
338,<<START_SECTION>>Abdominal paini<<END_SECTION>>,0,0,Abdominal paini,2.0
339,<<START_SECTION>>Very common<<END_SECTION>>,0,0,Very common,2.0
340,<<START_SECTION>>12.7<<END_SECTION>>,0,0,12.7,2.0
341,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
342,<<START_SECTION>>1.8<<END_SECTION>>,0,0,1.8,2.0
343,<<START_SECTION>>Colitisj<<END_SECTION>>,0,0,Colitisj,2.0
344,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
345,<<START_SECTION>>0.9<<END_SECTION>>,0,0,0.9,2.0
346,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
347,<<START_SECTION>>0.3<<END_SECTION>>,0,0,0.3,2.0
348,<<START_SECTION>>Hepatobiliary disorders<<END_SECTION>>,0,0,Hepatobiliary disorders,2.0
349,"<<START_SECTION>>Aspartate aminotransferase increased or Alanine aminotransferase increasedc,k<<END_SECTION>>",0,0,"Aspartate aminotransferase increased or Alanine aminotransferase increasedc,k",2.0
350,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
351,<<START_SECTION>>8.1<<END_SECTION>>,0,0,8.1,2.0
352,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
353,<<START_SECTION>>2.3<<END_SECTION>>,0,0,2.3,2.0
354,"<<START_SECTION>>Hepatitisc,l<<END_SECTION>>",0,0,"Hepatitisc,l",2.0
355,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
356,<<START_SECTION>>0.8<<END_SECTION>>,0,0,0.8,2.0
357,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
358,<<START_SECTION>>0.4<<END_SECTION>>,0,0,0.4,2.0
359,<<START_SECTION>>Skin and subcutaneous tissue disorders<<END_SECTION>>,0,0,Skin and subcutaneous tissue disorders,2.0
360,<<START_SECTION>>Rashm<<END_SECTION>>,0,0,Rashm,2.0
361,<<START_SECTION>>Very common<<END_SECTION>>,0,0,Very common,2.0
362,<<START_SECTION>>16.0<<END_SECTION>>,0,0,16.0,2.0
363,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
364,<<START_SECTION>>0.6<<END_SECTION>>,0,0,0.6,2.0
365,<<START_SECTION>>Pruritusn<<END_SECTION>>,0,0,Pruritusn,2.0
366,<<START_SECTION>>Very common<<END_SECTION>>,0,0,Very common,2.0
367,<<START_SECTION>>10.8<<END_SECTION>>,0,0,10.8,2.0
368,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
369,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
370,<<START_SECTION>>Night sweats<<END_SECTION>>,0,0,Night sweats,2.0
371,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
372,<<START_SECTION>>1.6<<END_SECTION>>,0,0,1.6,2.0
373,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
374,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
375,<<START_SECTION>>Dermatitis<<END_SECTION>>,0,0,Dermatitis,2.0
376,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
377,<<START_SECTION>>0.7<<END_SECTION>>,0,0,0.7,2.0
378,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
379,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
380,<<START_SECTION>>Pemphigoido<<END_SECTION>>,0,0,Pemphigoido,2.0
381,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
382,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
383,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
384,<<START_SECTION>>Musculoskeletal and connective tissue disorders<<END_SECTION>>,0,0,Musculoskeletal and connective tissue disorders,2.0
385,<<START_SECTION>>Myalgia<<END_SECTION>>,0,0,Myalgia,2.0
386,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
387,<<START_SECTION>>5.9<<END_SECTION>>,0,0,5.9,2.0
388,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
389,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
390,<<START_SECTION>>Myositis<<END_SECTION>>,0,0,Myositis,2.0
391,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
392,<<START_SECTION>>0.2<<END_SECTION>>,0,0,0.2,2.0
393,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
394,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
395,<<START_SECTION>>Polymyositis<<END_SECTION>>,0,0,Polymyositis,2.0
396,<<START_SECTION>>Not determinedp<<END_SECTION>>,0,0,Not determinedp,2.0
397,<<START_SECTION>>Not determinedp<<END_SECTION>>,0,0,Not determinedp,2.0
398,<<START_SECTION>>Renal and urinary disorders<<END_SECTION>>,0,0,Renal and urinary disorders,2.0
399,<<START_SECTION>>Blood creatinine increased<<END_SECTION>>,0,0,Blood creatinine increased,2.0
400,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
401,<<START_SECTION>>3.5<<END_SECTION>>,0,0,3.5,2.0
402,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
403,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
404,<<START_SECTION>>Dysuria<<END_SECTION>>,0,0,Dysuria,2.0
405,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
406,<<START_SECTION>>1.3<<END_SECTION>>,0,0,1.3,2.0
407,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
408,<<START_SECTION>>Nephritisq<<END_SECTION>>,0,0,Nephritisq,2.0
409,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
410,<<START_SECTION>>0.3<<END_SECTION>>,0,0,0.3,2.0
411,<<START_SECTION>>Rare<<END_SECTION>>,0,0,Rare,2.0
412,<<START_SECTION>><0.1<<END_SECTION>>,0,0,<0.1,2.0
413,<<START_SECTION>>General disorders and administration site conditions<<END_SECTION>>,0,0,General disorders and administration site conditions,2.0
414,<<START_SECTION>>Pyrexia<<END_SECTION>>,0,0,Pyrexia,2.0
415,<<START_SECTION>>Very common<<END_SECTION>>,0,0,Very common,2.0
416,<<START_SECTION>>13.8<<END_SECTION>>,0,0,13.8,2.0
417,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
418,<<START_SECTION>>0.3<<END_SECTION>>,0,0,0.3,2.0
419,<<START_SECTION>>Peripheral oedemar<<END_SECTION>>,0,0,Peripheral oedemar,2.0
420,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
421,<<START_SECTION>>9.7<<END_SECTION>>,0,0,9.7,2.0
422,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
423,<<START_SECTION>>0.3<<END_SECTION>>,0,0,0.3,2.0
424,"<<START_SECTION>>Injury, poisoning and procedural complications<<END_SECTION>>",0,0,"Injury, poisoning and procedural complications",2.0
425,<<START_SECTION>>Infusion related reactions<<END_SECTION>>,0,0,Infusion related reactions,2.0
426,<<START_SECTION>>Common<<END_SECTION>>,0,0,Common,2.0
427,<<START_SECTION>>1.6<<END_SECTION>>,0,0,1.6,2.0
428,<<START_SECTION>>Uncommon<<END_SECTION>>,0,0,Uncommon,2.0
429,<<START_SECTION>>0.2<<END_SECTION>>,0,0,0.2,2.0
430,"<<START_SECTION>>a includes laryngitis, nasopharyngitis, peritonsillar abscess, pharyngitis, rhinitis, sinusitis, tonsillitis, tracheobronchitis and upper respiratory tract infection.<<END_SECTION>>",0,0,"a includes laryngitis, nasopharyngitis, peritonsillar abscess, pharyngitis, rhinitis, sinusitis, tonsillitis, tracheobronchitis and upper respiratory tract infection.",2.0
431,"<<START_SECTION>>b includes lung infection, pneumocystis jirovecii pneumonia, pneumonia, pneumonia adenoviral, pneumonia bacterial, pneumonia cytomegaloviral, pneumonia haemophilus, pneumonia pneumococcal, pneumonia streptococcal, candida pneumonia and pneumonia legionella.<<END_SECTION>>",0,0,"b includes lung infection, pneumocystis jirovecii pneumonia, pneumonia, pneumonia adenoviral, pneumonia bacterial, pneumonia cytomegaloviral, pneumonia haemophilus, pneumonia pneumococcal, pneumonia streptococcal, candida pneumonia and pneumonia legionella.",2.0
432,"<<START_SECTION>>c including fatal outcome.  d 	includes gingivitis, oral infection, periodontitis, pulpitis dental, tooth abscess and tooth infection.  e 	includes autoimmune hypothyroidism, hypothyroidism. f 	includes hyperthyroidism and Basedow's disease. g 	includes autoimmune thyroiditis, thyroiditis, and thyroiditis subacute.<<END_SECTION>>",0,0,"c including fatal outcome.  d 	includes gingivitis, oral infection, periodontitis, pulpitis dental, tooth abscess and tooth infection.  e 	includes autoimmune hypothyroidism, hypothyroidism. f 	includes hyperthyroidism and Basedow's disease. g 	includes autoimmune thyroiditis, thyroiditis, and thyroiditis subacute.",2.0
