text,label
"Studies in pregnant rats that received oral acetaminophen during organogenesis at doses up to 0.85 times the maximum human daily dose (MHDD = 4 grams/day, based on a body surface area comparison) showed evidence of fetotoxicity (reduced fetal weight and length) and a dose-related increase in bone variations (reduced ossification and rudimentary rib changes). Offspring had no evidence of external, visceral, or skeletal malformations. When pregnant rats received oral acetaminophen throughout gestation at doses of 1.2 times the MHDD (based on a body surface area comparison), areas of necrosis occurred in both the liver and kidney of pregnant rats and fetuses. These effects did not occur in animals that received oral acetaminophen at doses 0.3 times the MHDD, based on a body surface area comparison.",2
(zafirlukast) Tablets,1
"Abilify Injection is intended for intramuscular use only. Do not administer intravenously or subcutaneously. Inject slowly, deep into the muscle mass.",2
"Epinephrine is rapidly degraded to vanillylmandelic acid, an inactive metabolite, by monoamine oxidase and catechol-O-methyltransferase that are abundantly expressed in the liver, kidneys and other extraneuronal tissues. The tissues with the highest contribution to removal of circulating exogenous epinephrine are the liver (32%), kidneys (25%), skeletal muscle (20%), and mesenteric organs (12%).",2
NDC 0944-4624-01,2
More about Adbry (tralokinumab),0
WARRANTY,1
Skin,1
"

Caffeine (1,3,7-trimethylxanthine), a bitter, white crystalline powder or white glistening needles, is a central nervous system stimulant. It has the following structural formula:",2
Type 2 Diabetes Mellitus,1
"After initiation of Actos or with dose increase, monitor patients carefully for adverse reactions related to fluid retention such as weight gain, edema, and signs and symptoms of congestive heart failure [see Boxed Warning and Warnings and Precautions (5.5)].",2
Varicella-Zoster Infections in lmmunocompromised Patients,1
About your pen needles (supplied separately),2
Re-treatment of Paget's Disease,2
"Bisphosphonates have been associated with gastrointestinal disorders such as dysphagia, esophagitis, and esophageal or gastric ulcers. This association has been reported for bisphosphonates in postmarketing experience, but has not been found in most pre-approval clinical trials, including those conducted with ACTONEL. Patients should be advised that taking the medication according to the instructions is important to minimize the risk of these events. They should take ACTONEL with sufficient plain water (6 to 8 oz) to facilitate delivery to the stomach, and should not lie down for 30 minutes after taking the drug.",2
DO NOT USE,1
"Naprosyn, All Day Relief, Naprelan",2
SANOFI,2
"Elderly, Cachetic,",1
"For doses less than 1,000 mg, the appropriate dose must be withdrawn from the bag and placed into a separate container prior to administration. Using aseptic technique, withdraw the appropriate dose (650 mg or weight-based) from an intact Acetaminophen Injection bag and place the measured dose in a separate empty, sterile container (e.g., glass bottle, plastic intravenous container, or syringe) for intravenous infusion to avoid the inadvertent delivery and administration of the total volume of the commercially available container. The entire 100 mL bag of Acetaminophen Injection is not intended for use in patients weighing less than 50 kg. Acetaminophen Injection is a single-dose bag and the unused portion must be discarded.",2
"The most frequently reported manifestation of overdosage was bleeding, primarily minor mucocutaneous bleeding events and minor bleeding at the sites of cardiac catheterization [see Warnings and Precautions (5.1)].",2
"What are Alendronate sodium tablets, USP?",2
Renal Effects,1
ALA-CORT ®,1
"The manifestations of HLH/MAS include hypotension, hypoxia, multiple organ dysfunction, renal dysfunction and cytopenia.",2
Isoflurane contains no stabilizer. Nothing in the drug product alters calibration or operation of these vaporizers.,2
STEP 4. After use / Disposal,2
"AirDuo Digihaler should not be used for the relief of acute symptoms, i.e., as rescue therapy for the treatment of acute episodes of bronchospasm. An inhaled, short‑acting beta2‑agonist, not AirDuo Digihaler, should be used to relieve acute symptoms such as shortness of breath. When prescribing AirDuo Digihaler, the healthcare provider should also prescribe an inhaled, short‑acting beta2-agonist (e.g., albuterol) for treatment of acute symptoms, despite regular twice‑daily use of AirDuo Digihaler.",2
"In a double-blind, randomized trial (n = 138) comparing 3-hour infusion of Activase to placebo (Study 4), patients infused with Activase within 4 hours of onset of symptoms experienced improved left ventricular function at Day 10 compared to the placebo group, when ejection fraction was measured by gated blood pool scan (53.2% vs. 46.4%, p =0.018). Relative to baseline (Day 1) values, the net changes in ejection fraction were + 3.6% and -4.7% for the treated and placebo groups, respectively (p=0.0001). The treated group had a reduced incidence of clinical heart failure (14%) compared to the placebo group (33%) (p = 0.009).",2
"Hormone Receptor-Positive, HER2-Negative Breast Cancer",1
"When Aggrenox capsules were taken with a high fat meal, dipyridamole peak plasma levels (Cmax) and total absorption (AUC) were decreased at steady-state by 20-30% compared to fasting. Due to the similar degree of inhibition of adenosine uptake at these plasma concentrations, this food effect is not considered clinically relevant.",2
Adlyxin pen Information,2
Inability to Swallow,1
Renal impairment,1
"Adderall XR® is a registered trademark of Takeda Pharmaceuticals U.S.A., Inc.
ADDERALL® is a registered trademark of Takeda Pharmaceuticals U.S.A., Inc. under license to Duramed Pharmaceuticals, Inc.",2
Akten Gel Dosage and Administration,0
Aerobid®Aerobid®-M,2
"Bromfed DM, brompheniramine / dextromethorphan / pseudoephedrine, Mucinex D, Promethazine VC with Codeine, Vicks Dayquil Cold & Flu Relief, Vicks NyQuil Severe Cold & Flu",2
"Impairment of fertility: In rats, no effects on male or female fertility were observed.",2
"In patients taking amiodarone concomitantly with lovastatin, the dose should not exceed 40 mg/day (see WARNINGS, Myopathy/Rhabdomyolysis and PRECAUTIONS, Drug Interactions, Other drug interactions).",2
Cloudiness in the formulation may occur when Agri-Mectin® (ivermectin) Pour-On is stored at temperatures below 32° F. Allowing it to warm at room temperature will restore the normal appearance without affecting efficacy.,2
"Laboratory Test Findings: Throughout the Phase 3 studies, transient decreases from baseline in serum calcium (less than 1%) and serum phosphate (less than 3%) and compensatory increases in serum PTH levels (less than 30%) were observed within 6 months in patients in osteoporosis clinical trials treated with Actonel 5 mg once daily. There were no significant differences in serum calcium, phosphate, or PTH levels between placebo and Actonel 5 mg once daily at 3 years. Serum calcium levels below 8 mg/dL were observed in 18 patients, 9 (0.5%) in each treatment arm (placebo and Actonel 5 mg once daily). Serum phosphorus levels below 2 mg/dL were observed in 14 patients, 3 (0.2%) treated with placebo and 11 (0.6%) treated with Actonel 5 mg once daily. There have been rare reports (less than 0.1%) of abnormal liver function tests.",2
"Buprenex, aspirin, tramadol, acetaminophen, naproxen, Tylenol, oxycodone, fentanyl, ketorolac, Toradol",2
Indications and Usage for Acetaminophen Aspirin Codeine,0
The nebulized solution may be inhaled directly from the nebulizer. Nebulizers may also be attached to the plastic face masks or plastic mouthpieces. Suitable nebulizers may also be fitted for use with the various intermittent positive pressure breathing (IPPB) machines. The nebulizing equipment should be cleaned immediately after use because the residues may clog the smaller orifices or corrode metal parts.,2
"Worm), Lungworms, Grubs, Sucking Lice,",2
Post-Marketing Experience,1
Sleepiness,1
General information about the safe and effective use of Alendronate Sodium Oral Solution.,2
Other methods include the refractive error method and the visual demands method.,2
"Immunological Evaluation in Adolescents and Adults, 11 through 64 Years of Age Following a First Vaccination with Adacel",1
Gram-positive Bacteria,2
"Symptomatic hypotension sometimes associated with oliguria and/or progressive azotemia, and rarely acute renal failure and/or death, include patients with the following conditions or characteristics: heart failure, hyponatremia, high dose diuretic therapy, recent intensive diuresis or increase in diuretic dose, renal dialysis or severe volume and/or salt depletion of any etiology. Volume and/or salt depletion should be corrected before initiating therapy with Accuretic.",2
"A major efficacy outcome was overall survival. The pre-specified interim analysis after 406 deaths showed a statistically significant improvement in OS in patients on Abiraterone acetate with prednisone compared to those on placebos. Twenty-one percent of patients on the Abiraterone acetate arm and 41% of patients on the placebos arm received subsequent therapies that may prolong OS in metastatic CRPC. An updated survival analysis was conducted when 618 deaths were observed. The median follow-up time was 52 months. Results from this analysis were consistent with those from the pre-specified interim analysis (Table 10 and Figure 4). At the updated analysis, 29% of patients on the Abiraterone acetate arm and 45% of patients on the placebos arm received subsequent therapies that may prolong OS in metastatic CRPC.",2
"Effects of treatment with Advair Diskus 500/50, fluticasone propionate 500 mcg, salmeterol 50 mcg, or placebo on BMD was evaluated in a subset of 658 subjects (females and males aged 40 to 80 years) with COPD in the 3-year survival trial. BMD evaluations were conducted at baseline and at 48, 108, and 158 weeks. Conclusions cannot be drawn from this trial because of the large number of dropouts (>50%) before the end of the follow-up and the maldistribution of covariates among the treatment groups that can affect BMD.",2
"Following intravenous dosing, tocilizumab undergoes biphasic elimination from the circulation. In rheumatoid arthritis patients the central volume of distribution was 3.5 L and the peripheral volume of distribution was 2.9 L, resulting in a volume of distribution at steady state of 6.4 L.",2
"Hemoglobin and Hematocrit: Small decreases in hemoglobin and hematocrit (mean decreases of approximately 0.08 g/dL and 0.16 volume percent, respectively, for all aliskiren monotherapy) were observed. The decreases were dose-related and were 0.24 g/dL and 0.79 volume percent for 600 mg daily. This effect is also seen with other agents acting on the renin angiotensin system, such as angiotensin inhibitors and ARBs, and may be mediated by reduction of angiotensin II which stimulates erythropoietin production via the AT1 receptor. These decreases led to slight increases in rates of anemia with aliskiren compared to placebo were observed (0.1% for any aliskiren use, 0.3% for aliskiren 600 mg daily, versus 0% for placebo). No patients discontinued therapy due to anemia.",2
Males,1
"Carcinogenicity studies with adapalene were conducted in mice at topical doses of 0.4, 1.3, and 4.0 mg/kg/day (1.2, 3.9, 12 mg/m2/day), and in rats at oral doses of 0.15, 0.5, and 1.5 mg/kg/day (0.9, 3.0, and 9.0 mg/m2/day). The highest dose levels are 3.2 (mice) and 2.4 (rats) times the MRHD of adapalene and benzoyl peroxide topical gel, 0.3%/2.5% based on a mg/m2 comparison. In the rat study, an increased incidence of benign and malignant pheochromocytomas reported in the adrenal medulla of male rats was observed.",2
Figure 4: Kaplan-Meier Plot of Overall Survival; Intent-to-treat Population in LATITUDE Updated Analysis,2
"Advise patients that inflammatory bowel disease (including regional ileitis) have occurred with isotretinoin use including those without a prior history of IBD and if they experience IBD symptoms, they should discontinue",2
Musculoskeletal Abnormalities,1
"Step 3: If preparing the Afinitor DISPERZ suspension for another person, put on disposable gloves (see Figure U).",2
Metabolic/Nutritional:,2
Acuvue Theravision with Ketotifen Description,0
"What is the most important information I should know about Abacavir, Lamivudine and Zidovudine Tablets?",2
For Inhalation Only,2
Allergic/ Hypersensitivity Reactions,1
Long-Term Maintenance of Healing of Erosive or Ulcerative GERD in Adults,1
Component Preparation:,1
Clinical Trials Experience: Actinic Keratosis,1
Abilify DISCMELT® (aripiprazole) Orally Disintegrating Tablets are available as described in Table 4.,2
Damalinia bovis,2
Creatine Phosphokinase,1
one tablet of Adenovirus Type 7 Component are to,2
"In patients with TSC-associated subependymal giant cell astrocytoma (SEGA), the magnitude of the reduction in SEGA volume was correlated with the everolimus trough concentration.",2
Allergic or immediate hypersensitivity reactions including anaphylactic shock and serum sickness,2
"Distributed by:                        
Novum Pharma, LLC                        
Chicago, IL 60606",2
Adrenal problems,1
"Dipyridamole may counteract the anticholinesterase effect of cholinesterase inhibitors, thereby potentially aggravating myasthenia gravis.",2
HOW TO TAKE Afirmelle,1
2. Adjust donor scale to desired collection weight.,2
General information about the safe and effective use of Activella.,2
Approved January 2022,2
3-Hour Infusion,1
1. INDICATIONS AND USAGE,0
"2
mL",2
Methemoglobinemia,1
"Albuterol sulfate inhalation solution is a clear, colorless solution.",2
TABLE 3,2
"Tenderness, enlargement, pain, nipple discharge, galactorrhea; fibrocystic breast changes; breast cancer.",2
"acyclovir, valacyclovir, Valtrex, Zovirax, tetracaine topical, Abreva, Zovirax Cream",2
Figure 20: The effects of other drugs on dehydro-aripiprazole pharmacokinetics,2
"Hospira, Inc., Lake Forest, IL 60045 USA                                                                              ",2
         Iron is eliminated in small amounts by superficial loss and desquamation of gut cells. Premenopausal women can lose 30-150 mg of iron in the monthly blood loss. Iron excretion follows all kinds of,2
INTRAMUSCULAR OR SUBCUTANEOUS INJECTION MUST BE AVOIDED (see WARNINGS).,2
Agenerase Capsules should be stored at room temperature and should not be refrigerated.,2
"How is Allergenic Extract, Miller Moth Supplied",0
"Monitor such patients closely, particularly when initiating and titrating Actiq and when Actiq is given concomitantly with other drugs that depress respiration [see Warnings and Precautions (5.1)]. Alternatively, consider the use of non-opioid analgesics in these patients.",2
"Duragesic, Sublimaze, Abstral, Lazanda, ... +4 more",2
www.Adrenaclick.com,1
"Each prefilled syringe delivers 150 mg tralokinumab-ldrm in 1 mL and the inactive ingredients: acetic acid (0.3 mg), polysorbate 80 (0.1 mg), sodium acetate trihydrate (6 mg), sodium chloride (5 mg), and Water for Injection, at an approximate pH of 5.5.",2
"In Study 3, 197 patients were randomized to receive a fixed dose of Aduhelm 1 mg/kg (n=31), 3 mg/kg (n=32), 6 mg/kg (n=30), 10 mg/kg (n=32), titration of Aduhelm to 10 mg/kg over 44 weeks (n=23), or placebo (n=48) for 12 months. At baseline, the mean age of patients was 73 years, with a range of 51-91 years.",2
"HIKMA FARMACÊUTICA (PORTUGAL), S.A.",2
"ACE inhibitors may cause excessive hypotension, and may be associated with oliguria or azotemia, and rarely with acute renal failure and death. In patients with ischemic heart disease or cerebrovascular disease, an excessive fall in blood pressure could result in a myocardial infarction or a cerebrovascular accident.",2
"Other events that were seen more frequently in Adempas compared to placebo and potentially related to treatment were: palpitations, nasal congestion, epistaxis, dysphagia, abdominal distension and peripheral edema. With longer observation in uncontrolled long-term extension studies the safety profile was similar to that observed in the placebo controlled phase 3 trials.",2
Table 3 lists the adverse reactions that occurred ≥2% of pediatric patients (12 to 17 years) and greater than placebo among Adhansia XR-treated pediatric patients (12 to 17 years).,2
"Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1, 8.1) ",2
"Do not take Acetaminophen, Caffeine and Dihydrocodeine Bitartrate Tablets if you have:",2
"Other clinically important Grade 3 or 4 laboratory abnormalities (based on laboratory data) that occurred in less than 10% of patients treated with Abecma include the following: alanine aminotransferase increased, aspartate aminotransferase increased, hypoalbuminemia, alkaline phosphatase increased, hyperglycemia, hypokalemia, bilirubin increased, hypofibrinogenemia, and hypocalcemia.",2
DOXORUBICIN,1
Adefovir Dipivoxil tablets are a medicine used to treat people 12 years of age and older with chronic (long-lasting) infections with active hepatitis B virus.,2
Clinical Pharmacology,0
     30mg/1mL,2
"For anisometropic correction, it is generally best to fit the more hyperopic (less myopic) eye for distance and the more myopic (less hyperopic) eye for near.",2
"Ripley, MS 38663",2
Store at controlled room temperature: 15˚-30˚ C (59˚–86˚ F),2
The dosage of allergenic extracts is dependent upon the purpose of the administration. Allergenic extracts can be administered for diagnostic use or for therapeutic use.,2
Acetadote,1
Clinical Trial Experience in Breast Cancer,1
Prostatic Carcinoma,1
Exposure-Response Relationships,1
"Each tablet contains abacavir sulfate USP equivalent to 300 mg of abacavir, 150 mg of lamivudine USP, and 300 mg of zidovudine USP.",2
"The most common form of CLE reported in patients treated with PPIs was subacute CLE (SCLE) and occurred within weeks to years after continuous drug therapy in patients ranging from infants to the elderly. Generally, histological findings were observed without organ involvement.",2
Store at 20ºC to 25°C(68° F to 77ºF); excursions permitted to 15ºC to 30ºC (59ºF to 86ºF) [see USP Controlled Room Temperature].,2
"Estrogen-alone therapy should not be used for the prevention of cardiovascular disease or dementia [see Warnings and Precautions ( 5.1, 5.3), and Clinical Studies ( 14.5, 14.6)] .",2
Collapsible Pack (84.5 fl oz/2.5 liter pack; 169 fl oz/5 liter pack with dosing gun/applicator),2
"Previously Untreated Systemic Anaplastic Large Cell Lymphoma or Other CD30-Expressing Peripheral T-Cell Lymphomas (Study 6, ECHELON-2)",2
Absorica LD 8mg Blister,0
Carcinogenicity,1
Carton containing one 100 mg/10 mL (10 mg/mL) single-dose vial          NDC 0078-0883-61,2
Maltol,2
"The systemic exposure of benzoyl peroxide is unknown. Based on published literature, benzoyl peroxide is rapidly metabolized to benzoic acid (an endogenous substance), which is eliminated in the urine. Hence, maternal use is not expected to result in fetal exposure of the drug.",2
Table 3,1
"Amphetamine is known to inhibit monoamine oxidase, whereas the ability of amphetamine and its metabolites to inhibit various P450 isozymes and other enzymes has not been adequately elucidated. In vitro experiments with human microsomes indicate minor inhibition of CYP2D6 by amphetamine and minor inhibition of CYP1A2, 2D6, and 3A4 by one or more metabolites. However, due to the probability of auto-inhibition and the lack of information on the concentration of these metabolites relative to in vivo concentrations, no predications regarding the potential for amphetamine or its metabolites to inhibit the metabolism of other drugs by CYP isozymes in vivo can be made.",2
GENERIC: Alfuzosin Hydrochloride,2
"Xylocaine-MPF, DentiPatch",2
There are no adequate and well-controlled studies in pregnant women.,2
"There is a risk to the mother from untreated schizophrenia or bipolar I disorder, including increased risk of relapse, hospitalization, and suicide. Schizophrenia and bipolar I disorder are associated with increased adverse perinatal outcomes, including preterm birth. It is not known if this is a direct result of the illness or other comorbid factors.",2
" Vascular: Hypertension (4%), deep vein thrombosis (< 1%)",2
12 CLINICAL PHARMACOLOGY,0
"After concomitant administration of warfarin 25 mg with repeated dosing of Adlyxin 20 mcg, there were no effects on AUC or INR (International Normalized Ratio) while Cmax was reduced by 19% and tmax was delayed by 7 hours [see Drug Interactions (7.1)].",2
OTHER INFORMATION,1
"After completion of cycle 1, patients had the option to participate in a multiple-cycle extension, receiving the same treatment as assigned in cycle 1. There was no pre-specified limit of the number of repeat consecutive cycles for any patient.",2
Neurologic Toxicities:,1
PRINCIPAL DISPLAY PANEL - 2000 IU 5 mL Blister Pack Label,0
"lack of ionic calcium prevents coagulation. Blood that has been treated with citrate anticoagulants is nontoxic to the body when injected in small amounts intravenously. After injection, citrate ions are rapidly removed from the blood by the liver, polymerized into glucose, and then metabolized in the usual manner",2
Drugs That May Increase or Decrease the Blood Glucose Lowering Effect of Afrezza,1
Dose Titration,1
Estrogen-Alone Therapy,1
"The effects of concomitant use or discontinuation of cytochrome P450 3A4 inducers, 3A4 inhibitors, or 2D6 inhibitors with codeine are complex. Use of cytochrome P450 3A4 inducers, 3A4 inhibitors, or 2D6 inhibitors with acetaminophen and codeine phosphate oral solution requires careful consideration of the effects on the parent drug, codeine, and the active metabolite, morphine. [see WARNINGS; Drug Interactions].",2
"Dose-related signs of toxicity in animals included reduced spontaneous movement, prone position, staggering gait, lacrimation, clonic convulsions, depressed respiration, salivation, miosis, tremors, fasciculation, and lower body surface temperature.",2
Advise women that breastfeeding is not recommended during treatment with acetaminophen and codeine phosphate oral solution [see PRECAUTIONS; Nursing Mothers].,2
 Water for Injection…………………………………………………q.s. to volume,2
"In acute acetaminophen overdosage, dose-dependent, potentially fatal hepatic necrosis is the most serious adverse effect. Renal tubular necrosis, hypoglycemic coma, and thrombocytopenia may also occur.",2
C. Visual Demands Method,1
"Any birth control method can fail. There have been reports of pregnancy from female patients who have used oral contraceptives, as well as transdermal patch/injectable/implantable/vaginal ring hormonal birth control products; these pregnancies occurred while these patients were taking Accutane. These reports are more frequent for female patients who use only a single method of contraception. Therefore, it is critically important that female patients of childbearing potential use 2 effective forms of contraception simultaneously. Patients must receive written warnings about the rates of possible contraception failure (included in patient education kits).",2
ACTUAL POTENCY,2
12D026-ADC-SPL,2
You and your healthcare provider should talk regularly about whether you still need treatment with Activella.,2
"The adverse reactions that most frequently resulted in clinical intervention (e.g., rest periods, withdrawal from study) were local skin and application site reactions. Overall, in the clinical studies, 2% (5/215) of subjects discontinued for local skin/application site reactions. Of the 215 subjects treated, 35 subjects (16%) on Aldara Cream and 3 of 220 subjects (1%) on vehicle cream had at least one rest period. Of these Aldara Cream subjects, 32 (91%) resumed therapy after a rest period.",2
"A randomized, 16-week, open-label, parallel design, study of pediatric patients with type 1 diabetes mellitus (n=298), aged 4 to 18 years, compared two subcutaneous infusion regimens administered via an external insulin pump: insulin aspart, 100 units/mL (n=198), or another insulin lispro product, 100 units/mL (n=100). These two treatments resulted in comparable changes from baseline in HbA1c after 16 weeks of treatment (see Table 6).",2
Isopropyl Alcohol 70% Prep Pads,0
"3. Bone, joint, or muscle pain.",2
"
SUNDAY START",1
"Acyclovir, USP is a white, crystalline powder with the molecular formula C 8H 11N 5O 3 and a molecular weight of 225. The maximum solubility in water at 37°C is 2.5mg/mL. The pka’s of acyclovir are 2.27 and 9.25.",2
Preparation for Intravenous Administration,1
"Major Dermal Procedures: For more painful dermatological procedures involving a larger skin area such as split thickness skin graft harvesting, apply 2 grams of lidocaine and prilocaine cream per 10 cm 2 of skin and allow to remain in contact with the skin for at least 2 hours.",2
"Donepezil Tablet Studies [see Clinical Studies (14.1, 14.2)]",2
"encompass observations in approximately 3,000 patients. More than 500 of these patients were treated for periods of at least 54 weeks.",2
Zydus Pharmaceuticals (USA) Inc.,1
No evidence of malformations or adverse effects on the fetus was reported in a published study in which pregnant rats were administered 8 mg/kg/day Alfentanil (232 times the human dose of 335 mcg/kg/day based on body surface area) continuously from Gestation Day 5 through Gestation Day 20 via subcutaneously implanted osmotic minipumps.,2
Pediatric Dose,1
"Skin and subcutaneous tissue disorders: rash, pruritis, urticaria, angioedema, toxic epidermal necrolysis",2
Thiazides may decrease urinary calcium excretion. Thiazides may cause intermittent and slight elevation of serum calcium in the absence of known disorders of calcium metabolism. Marked hypercalcemia may be evidence of hidden hyperparathyroidism. Thiazides should be discontinued before carrying out tests for parathyroid function.,2
"a Subjects achieved and maintained confirmed HIV-1 RNA less than 50 copies per mL (less than 400 copies per mL) through Week 48 (Roche AMPLICOR Ultrasensitive HIV-1 MONITOR standard test version 1.0).
b Includes viral rebound, failure to achieve confirmed  less than 50 copies per mL (less than 400 copies per mL) by Week 48, and insufficient viral load response.
c Includes consent withdrawn, lost to follow up, protocol violations, clinical progression, and other.
After 48 weeks of therapy, the median CD4+ cell count increases from baseline were 188 cells per mm 3 in the group receiving abacavir 600 mg once daily and 200 cells per mm 3 in the group receiving abacavir 300 mg twice daily. Through Week 48, 6 subjects (2%) in the group receiving abacavir 600 mg once daily (4 CDC classification C events and 2 deaths) and 10 subjects (3%) in the group receiving abacavir 300 mg twice daily (7 CDC classification C events and 3 deaths) experienced clinical disease progression. None of the deaths were attributed to trial medications.",2
"A 1-year study designed to evaluate safety and tolerability of 240 mg of fexofenadine hydrochloride (n=240) compared to placebo (n=237) in healthy volunteers, did not reveal a statistically significant increase in the mean QTc interval for the fexofenadine hydrochloride treated group when evaluated pretreatment and after 1, 2, 3, 6, 9, and 12 months of treatment.",2
"The following additional adverse reactions occurred in less than 10% of Afinitor-treated patients: nausea (8%), pain in extremity (8%), insomnia (6%), pneumonia (6%), epistaxis (5%), hypersensitivity (3%), increased blood luteinizing hormone (LH) levels (1%), and pneumonitis (1%).",2
"Acarbose Tablets 50 mg are white to off white, round, unscored tablets marked "" H50"" on one side and blank on the other side. They are supplied as follows:",2
NDC 33332–322–03,1
"Increase the dose for patients taking Afinitor/Afinitor DISPERZ with a P-gp and strong CYP3A4 inducer as recommended [see Dosage and Administration (2.12), Clinical Pharmacology (12.3)].",2
Effects on Vision,1
(See Figure F).,1
"Haemophilus b
Conjugate Vaccine
(Tetanus Toxoid Conjugate)
ActHIB®",2
-more tired or weaker than usual,2
Handling:,1
Use only as directed,2
"For the 162 mg every week dose, the estimated median (range) steady-state Cmax, Ctrough and Cmean of tocilizumab SC were 72.1 (12.2–151) mcg/mL, 67.2 (10.7–145) mcg/mL, and 70.6 (11.7–149) mcg/mL, respectively. The accumulation ratios for Cmean or AUCtau, Ctrough, and Cmax were 10.9, 9.6, and 8.9, respectively. Steady state was reached after 17 weeks. For the 162 mg every other week dose, the estimated median (range) steady-state Cmax, Ctrough, and Cmean of tocilizumab were 17.2 (1.1–56.2) mcg/mL, 7.7 (0.1–37.3) mcg/mL, and 13.7 (0.5–49) mcg/mL, respectively. The accumulation ratios for Cmean or AUCtau, Ctrough, and Cmax were 2.8, 5.6, and 2.3 respectively. Steady-state was reached after 14 weeks.",2
IV Dosing,1
- 2% hydrocortisone acetate,1
© 2021 Allergan. All rights reserved.,2
Rabeprazole is 96.3% bound to human plasma proteins.,2
"Of the 452 total patients, 226 patients were randomized to the Adcetris + CHP arm and 226 patients were randomized to the CHOP arm. Patients in both treatment arms were treated intravenously on Day 1 of each 21-day cycle for 6 to 8 cycles; prednisone was administered orally on Days 1‑5. Dosing in each treatment arm was administered according to the following:",2
"Oral medications that are particularly dependent on threshold concentrations for efficacy, such as antibiotics, or medications for which a delay in effect is undesirable, such as acetaminophen, should be administered at least 1 hour before Adlyxin injection [see Clinical Pharmacology (12.3)].",2
232 mcg/14 mcg,2
CIII,1
Do not co-administer Accuretic with aliskiren:,2
NDC 23359-019-16,1
"
BEFORE",1
ANIMAL PHARMACOLOGY AND ANIMAL TOXICOLOGY,0
Respiratory,2
"New 2-Component
Patch Design",2
"The pharmacokinetics of tocilizumab IV in GCA patients was characterized by a non-compartmental pharmacokinetic analysis which included 22 patients treated with 6 mg/kg intravenously every 4 weeks for 20 weeks. The median (range) Cmax, Ctrough and Cmean of tocilizumab at steady state were 178 (115-320) mcg/mL, 22.7 (3.38-54.5) mcg/mL and 57.5 (32.9-110) mcg/mL, respectively. Steady state trough concentrations were within the range observed in GCA patients treated with 162 mg TCZ SC administered every week or every other week.",2
750 mg/20 mg tablets: bottles of 90 - NDC# 0074-3072-90,2
"Abilify® (aripiprazole) Injection for Intramuscular Use is a clear, colorless solution available as a ready-to-use, 9.75 mg/1.3 mL (7.5 mg/mL) solution in clear, Type 1 glass vials.",2
Adderall® is also used in the treatment of a sleep disorder called narcolepsy.,2
Alembic,2
", Drug Interactions",1
Compatibility,1
"Avoid the use of Ketorolac Tromethamine Injection, USP in patients with a recent MI unless the benefits are expected to outweigh the risk of recurrent CV thrombotic events. If Ketorolac Tromethamine Injection, USP is used in patients with a recent MI, monitor patients for signs of cardiac ischemia.",2
"In patients taking danazol, diltiazem, or verapamil concomitantly with lovastatin (see WARNINGS, Myopathy/Rhabdomyolysis), therapy should begin with 10 mg of lovastatin and should not exceed 20 mg/day.",2
"Adapalene and Benzoyl Peroxide Topical Gel, 0.3%/2.5% is a prescription medicine used on the skin (topical) to treat acne vulgaris.",2
There is a pregnancy exposure registry that monitors pregnancy outcomes in women exposed to Abilify Mycite during pregnancy. For more information contact the National Pregnancy Registry for Atypical Antipsychotics at 1-866-961-2388 or visit http://womensmentalhealth.org/clinical-and-research-programs/pregnancyregistry/.,2
See Figure G,1
Anaphylaxis was reported in 1 out of 112 patients (less than 1%) treated with Actemra-IV during the controlled and open label extension study [see Warnings and Precautions (5.6)].,2
0.5 mg/0.1 mg,2
"In general, dose selection for an elderly patient should be cautious, usually starting at the low end of the dosing range, reflecting the greater frequency of decreased hepatic, renal, or cardiac function, and concomitant disease or other drug therapy.",2
Active Ingredient: imiquimod,2
70 mg Capsules,1
Reports suggest that NSAIDs may diminish the antihypertensive effect of ACE inhibitors and/or angiotensin II receptor antagonists. This interaction should be given consideration in patients taking NSAIDs concomitantly with ACE inhibitors and/or angiotensin II receptor antagonists.,2
Cardiovascular: tachycardia.,2
2. Physical Examination and Follow-Up,1
Risk of Pulmonary Hypertension:,1
"Sudden deaths, stroke, and myocardial infarction have been reported in adults taking stimulant drugs at usual doses for ADHD. Although the role of stimulants in these adult cases is also unknown, adults have a greater likelihood than children of having serious structural cardiac abnormalities, cardiomyopathy, serious heart rhythm abnormalities, coronary artery disease, or other serious cardiac problems. Adults with such abnormalities should also generally not be treated with stimulant drugs [see CONTRAINDICATIONS].",2
"Incidence less than 1%, judged by investigators as possibly or probably drug related:",2
Accelerated Infusion,1
"In ECHELON-2 (Study 6), 52% of patients treated with Adcetris + CHP experienced new or worsening peripheral neuropathy of any grade (by maximum grade, 34% Grade 1, 15% Grade 2, 3% Grade 3, < 1% Grade 4). The peripheral neuropathy was predominantly sensory (94% sensory, 16% motor) and had a median onset time of 2 months (range, <1–5). At last evaluation, 50% had complete resolution of neuropathy, 12% had partial improvement, and 38% had no improvement. The median time to resolution or improvement overall was 4 months (range, 0–45). Of patients with residual neuropathy at their last evaluation, the neuropathy was Grade 1 in 72%, Grade 2 in 25%, and Grade 3 in 3%.",2
"Hold the Adbry prefilled syringe body with one hand, pull the needle cover straight off with your other hand (see Figure I) and throw it away in the sharps container.",2
"aspirin, clopidogrel, Plavix, Brilinta, ticagrelor, pravastatin",2
Tell your doctor,1
